id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1852165,ORANG,2011
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,925205,ORANG,2011
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,863044,ORANG,2011
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1248267,ORANG,2011
5,32,JAWA BARAT,3205,KABUPATEN GARUT,904607,ORANG,2011
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,677453,ORANG,2011
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,648480,ORANG,2011
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,425718,ORANG,2011
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,828506,ORANG,2011
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,489817,ORANG,2011
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,457222,ORANG,2011
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,702670,ORANG,2011
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,623501,ORANG,2011
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,340411,ORANG,2011
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,880087,ORANG,2011
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1074899,ORANG,2011
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,597633,ORANG,2011
18,32,JAWA BARAT,3271,KOTA BOGOR,391221,ORANG,2011
19,32,JAWA BARAT,3272,KOTA SUKABUMI,119803,ORANG,2011
20,32,JAWA BARAT,3273,KOTA BANDUNG,1012946,ORANG,2011
21,32,JAWA BARAT,3274,KOTA CIREBON,120967,ORANG,2011
22,32,JAWA BARAT,3275,KOTA BEKASI,990630,ORANG,2011
23,32,JAWA BARAT,3276,KOTA DEPOK,728675,ORANG,2011
24,32,JAWA BARAT,3277,KOTA CIMAHI,225801,ORANG,2011
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,253713,ORANG,2011
26,32,JAWA BARAT,3279,KOTA BANJAR,71340,ORANG,2011
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,1995032,ORANG,2012
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,958955,ORANG,2012
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,899502,ORANG,2012
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1323166,ORANG,2012
31,32,JAWA BARAT,3205,KABUPATEN GARUT,936552,ORANG,2012
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,811323,ORANG,2012
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,748629,ORANG,2012
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,453382,ORANG,2012
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,762065,ORANG,2012
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,557086,ORANG,2012
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,487639,ORANG,2012
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,732279,ORANG,2012
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,693303,ORANG,2012
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,375959,ORANG,2012
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,917556,ORANG,2012
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,1107002,ORANG,2012
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,583954,ORANG,2012
44,32,JAWA BARAT,3271,KOTA BOGOR,383111,ORANG,2012
45,32,JAWA BARAT,3272,KOTA SUKABUMI,109249,ORANG,2012
46,32,JAWA BARAT,3273,KOTA BANDUNG,1064167,ORANG,2012
47,32,JAWA BARAT,3274,KOTA CIREBON,116605,ORANG,2012
48,32,JAWA BARAT,3275,KOTA BEKASI,977043,ORANG,2012
49,32,JAWA BARAT,3276,KOTA DEPOK,750820,ORANG,2012
50,32,JAWA BARAT,3277,KOTA CIMAHI,225763,ORANG,2012
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,274314,ORANG,2012
52,32,JAWA BARAT,3279,KOTA BANJAR,76652,ORANG,2012
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,2131478,ORANG,2013
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,944618,ORANG,2013
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,880713,ORANG,2013
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1407503,ORANG,2013
57,32,JAWA BARAT,3205,KABUPATEN GARUT,922194,ORANG,2013
58,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,786927,ORANG,2013
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,723640,ORANG,2013
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,444359,ORANG,2013
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,763934,ORANG,2013
62,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,550134,ORANG,2013
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,483648,ORANG,2013
64,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,717696,ORANG,2013
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,656787,ORANG,2013
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,360398,ORANG,2013
67,32,JAWA BARAT,3215,KABUPATEN KARAWANG,888592,ORANG,2013
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,1268648,ORANG,2013
69,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,599870,ORANG,2013
70,32,JAWA BARAT,3271,KOTA BOGOR,403628,ORANG,2013
71,32,JAWA BARAT,3272,KOTA SUKABUMI,118252,ORANG,2013
72,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2013
73,32,JAWA BARAT,3274,KOTA CIREBON,129208,ORANG,2013
74,32,JAWA BARAT,3275,KOTA BEKASI,1063637,ORANG,2013
75,32,JAWA BARAT,3276,KOTA DEPOK,836688,ORANG,2013
76,32,JAWA BARAT,3277,KOTA CIMAHI,231379,ORANG,2013
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,289166,ORANG,2013
78,32,JAWA BARAT,3279,KOTA BANJAR,73424,ORANG,2013
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,2137954,ORANG,2014
80,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1004798,ORANG,2014
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,878215,ORANG,2014
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1490031,ORANG,2014
83,32,JAWA BARAT,3205,KABUPATEN GARUT,943727,ORANG,2014
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,787281,ORANG,2014
85,32,JAWA BARAT,3207,KABUPATEN CIAMIS,729286,ORANG,2014
86,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,434948,ORANG,2014
87,32,JAWA BARAT,3209,KABUPATEN CIREBON,792245,ORANG,2014
88,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,600843,ORANG,2014
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,515735,ORANG,2014
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,705180,ORANG,2014
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,680739,ORANG,2014
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,375455,ORANG,2014
93,32,JAWA BARAT,3215,KABUPATEN KARAWANG,912864,ORANG,2014
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,1295522,ORANG,2014
95,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,585465,ORANG,2014
96,32,JAWA BARAT,3271,KOTA BOGOR,415162,ORANG,2014
97,32,JAWA BARAT,3272,KOTA SUKABUMI,122046,ORANG,2014
98,32,JAWA BARAT,3273,KOTA BANDUNG,1096799,ORANG,2014
99,32,JAWA BARAT,3274,KOTA CIREBON,130927,ORANG,2014
100,32,JAWA BARAT,3275,KOTA BEKASI,1120471,ORANG,2014
101,32,JAWA BARAT,3276,KOTA DEPOK,877684,ORANG,2014
102,32,JAWA BARAT,3277,KOTA CIMAHI,244278,ORANG,2014
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,274001,ORANG,2014
104,32,JAWA BARAT,3279,KOTA BANJAR,79287,ORANG,2014
105,32,JAWA BARAT,3201,KABUPATEN BOGOR,2083234,ORANG,2015
106,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,912272,ORANG,2015
107,32,JAWA BARAT,3203,KABUPATEN CIANJUR,863592,ORANG,2015
108,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1438365,ORANG,2015
109,32,JAWA BARAT,3205,KABUPATEN GARUT,945768,ORANG,2015
110,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,724664,ORANG,2015
111,32,JAWA BARAT,3207,KABUPATEN CIAMIS,494078,ORANG,2015
112,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,435712,ORANG,2015
113,32,JAWA BARAT,3209,KABUPATEN CIREBON,813824,ORANG,2015
114,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,580729,ORANG,2015
115,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,481029,ORANG,2015
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,677201,ORANG,2015
117,32,JAWA BARAT,3213,KABUPATEN SUBANG,633116,ORANG,2015
118,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,371543,ORANG,2015
119,32,JAWA BARAT,3215,KABUPATEN KARAWANG,873995,ORANG,2015
120,32,JAWA BARAT,3216,KABUPATEN BEKASI,1344821,ORANG,2015
121,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,563252,ORANG,2015
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,192391,ORANG,2015
123,32,JAWA BARAT,3271,KOTA BOGOR,400983,ORANG,2015
124,32,JAWA BARAT,3272,KOTA SUKABUMI,133746,ORANG,2015
125,32,JAWA BARAT,3273,KOTA BANDUNG,1084989,ORANG,2015
126,32,JAWA BARAT,3274,KOTA CIREBON,126821,ORANG,2015
127,32,JAWA BARAT,3275,KOTA BEKASI,1081936,ORANG,2015
128,32,JAWA BARAT,3276,KOTA DEPOK,896981,ORANG,2015
129,32,JAWA BARAT,3277,KOTA CIMAHI,257105,ORANG,2015
