no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;persentase_tingkat_pengangguran_terbuka;persentase;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;1426;14,26;PERSEN;2007
2;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1085;10,85;PERSEN;2007
3;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1382;13,82;PERSEN;2007
4;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1737;17,37;PERSEN;2007
5;32;JAWA BARAT;3205;KABUPATEN GARUT;1218;12,18;PERSEN;2007
6;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;848;8,48;PERSEN;2007
7;32;JAWA BARAT;3207;KABUPATEN CIAMIS;439;4,39;PERSEN;2007
8;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1056;10,56;PERSEN;2007
9;32;JAWA BARAT;3209;KABUPATEN CIREBON;1364;13,64;PERSEN;2007
10;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;746;7,46;PERSEN;2007
11;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;783;7,83;PERSEN;2007
12;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1045;10,45;PERSEN;2007
13;32;JAWA BARAT;3213;KABUPATEN SUBANG;751;7,51;PERSEN;2007
14;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1276;12,76;PERSEN;2007
15;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1702;17,02;PERSEN;2007
16;32;JAWA BARAT;3216;KABUPATEN BEKASI;1512;15,12;PERSEN;2007
17;32;JAWA BARAT;3271;KOTA BOGOR;1889;18,89;PERSEN;2007
18;32;JAWA BARAT;3272;KOTA SUKABUMI;2215;22,15;PERSEN;2007
19;32;JAWA BARAT;3273;KOTA BANDUNG;1648;16,48;PERSEN;2007
20;32;JAWA BARAT;3274;KOTA CIREBON;1656;16,56;PERSEN;2007
21;32;JAWA BARAT;3275;KOTA BEKASI;1658;16,58;PERSEN;2007
22;32;JAWA BARAT;3276;KOTA DEPOK;128;1,28;PERSEN;2007
23;32;JAWA BARAT;3277;KOTA CIMAHI;1882;18,82;PERSEN;2007
24;32;JAWA BARAT;3278;KOTA TASIKMALAYA;1137;11,37;PERSEN;2007
25;32;JAWA BARAT;3279;KOTA BANJAR;966;9,66;PERSEN;2007
26;32;JAWA BARAT;3201;KABUPATEN BOGOR;1124;11,24;PERSEN;2009
27;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;795;7,95;PERSEN;2009
28;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1035;10,35;PERSEN;2009
29;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1227;12,27;PERSEN;2009
30;32;JAWA BARAT;3205;KABUPATEN GARUT;856;8,56;PERSEN;2009
31;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;681;6,81;PERSEN;2009
32;32;JAWA BARAT;3207;KABUPATEN CIAMIS;631;6,31;PERSEN;2009
33;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;961;9,61;PERSEN;2009
34;32;JAWA BARAT;3209;KABUPATEN CIREBON;1387;13,87;PERSEN;2009
35;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;674;6,74;PERSEN;2009
36;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;976;9,76;PERSEN;2009
37;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1027;10,27;PERSEN;2009
38;32;JAWA BARAT;3213;KABUPATEN SUBANG;776;7,76;PERSEN;2009
39;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1033;10,33;PERSEN;2009
40;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1434;14,34;PERSEN;2009
41;32;JAWA BARAT;3216;KABUPATEN BEKASI;1037;10,37;PERSEN;2009
42;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;136;1,36;PERSEN;2009
43;32;JAWA BARAT;3271;KOTA BOGOR;1904;19,04;PERSEN;2009
44;32;JAWA BARAT;3272;KOTA SUKABUMI;168;1,68;PERSEN;2009
45;32;JAWA BARAT;3273;KOTA BANDUNG;1329;13,29;PERSEN;2009
46;32;JAWA BARAT;3274;KOTA CIREBON;1332;13,32;PERSEN;2009
47;32;JAWA BARAT;3275;KOTA BEKASI;1393;13,93;PERSEN;2009
48;32;JAWA BARAT;3276;KOTA DEPOK;983;9,83;PERSEN;2009
49;32;JAWA BARAT;3277;KOTA CIMAHI;1517;15,17;PERSEN;2009
50;32;JAWA BARAT;3278;KOTA TASIKMALAYA;841;8,41;PERSEN;2009
51;32;JAWA BARAT;3279;KOTA BANJAR;687;6,87;PERSEN;2009
52;32;JAWA BARAT;3201;KABUPATEN BOGOR;1064;10,64;PERSEN;2010
53;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;989;9,89;PERSEN;2010
54;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1121;11,21;PERSEN;2010
55;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1069;10,69;PERSEN;2010
56;32;JAWA BARAT;3205;KABUPATEN GARUT;775;7,75;PERSEN;2010
57;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;779;7,79;PERSEN;2010
58;32;JAWA BARAT;3207;KABUPATEN CIAMIS;512;5,12;PERSEN;2010
59;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;787;7,87;PERSEN;2010
